,logFC,logCPM,F,PValue,FDR
chr1_223701040_223701264,-1.08897194153987,0.94040522314794,10.9954476590873,0.000913865893196437,0.998767643371116
chrX_48574797_48574957,-1.04717405794415,1.28434411136303,10.8962207791387,0.000964131967433295,0.998767643371116
chr5_91280535_91280726,-1.02346397698542,1.32034617269624,10.5035188775638,0.00119208123257082,0.998767643371116
chr10_17228435_17228643,-1.03371570816471,0.823009403084362,9.98947990266896,0.00157510186156822,0.998767643371116
chr22_21641707_21641804,-0.901049322057659,1.54609851176987,8.49928892689549,0.00355408114528982,0.998767643371116
chr6_30617302_30617535,-0.880402315815486,1.61286782260507,8.18409270762017,0.00422729494739656,0.998767643371116
chr11_65422098_65422498,-0.864584417637137,1.57899194516979,7.9122306858971,0.00491165962060359,0.998767643371116
chr1_19312659_19312915,-0.830847341341363,2.01482256355741,7.64188674895545,0.00570445003737964,0.998767643371116
chr14_22919175_22919527,-0.894919947016922,0.880701697469887,7.52980170523662,0.00607034410773681,0.998767643371116
chr3_45226245_45226538,-0.904736555204049,0.820977888373552,7.40754724803607,0.00649683295325444,0.998767643371116
chr19_18386038_18386270,-0.807408942244436,2.17656732023851,7.36842069323584,0.00663969378742098,0.998767643371116
chr7_44796975_44797147,-0.800673260111549,1.83414551377028,6.92477794427344,0.00850298680158465,0.998767643371116
chr3_49094081_49094523,-0.828543868154251,1.19405967371823,6.82661996210774,0.00898299895891911,0.998767643371116
chr17_1716207_1716670,-0.792416264389772,1.69953115302602,6.7418650585158,0.00941975816692855,0.998767643371116
chr16_3024207_3024451,-0.781847571210818,1.72893056367304,6.55274349059665,0.010474525214639,0.998767643371116
chr1_21783584_21783802,-0.736050589449697,1.92443167324826,5.93579001140515,0.0148391163971123,0.998767643371116
chr3_9396310_9397130,-0.682330183811111,2.90833159817101,5.88909087355962,0.0152376976715557,0.998767643371116
chr1_22451680_22451933,-0.745757062409731,1.38001338233437,5.7141758258151,0.016831327563928,0.998767643371116
chr11_65497393_65497937,-0.708280929750089,2.14007605826465,5.71204711733453,0.0168517467173343,0.998767643371116
chr12_54280584_54280722,-0.766400937496734,0.943474521308019,5.68561647685323,0.0171074155298843,0.998767643371116
chr15_63834335_63834515,-0.769213133847655,0.892387666881593,5.64050764145674,0.0175530455395455,0.998767643371116
chr11_47426363_47426670,-0.767618267294699,0.929794868314929,5.60855463363637,0.0178759445535002,0.998767643371116
chr6_26032169_26032254,-0.719934657477395,1.59553521316592,5.44605675075602,0.0196156171436542,0.998767643371116
chr1_6784559_6784734,-0.747331755118436,1.04918332397195,5.44255441260238,0.0196549822169953,0.998767643371116
chr12_109713508_109713887,-0.76002758523049,0.859419674824981,5.41424528676174,0.0199761808409069,0.998767643371116
chr15_40929152_40929381,-0.747244986830381,1.11714419700005,5.39533007702963,0.0201938159673209,0.998767643371116
chr1_25430678_25431024,-0.724791014843623,1.23082968035875,5.35567349432924,0.0206580959550719,0.998767643371116
chr3_15206508_15206603,-0.756832363996715,0.871730561174296,5.35210913438107,0.0207003630970637,0.998767643371116
chr2_84905546_84905646,-0.733248194287033,1.05827448047228,5.24890748187184,0.0219637797613264,0.998767643371116
chr5_34929815_34929977,-0.706131213097306,1.52480266033809,5.19864886972168,0.0226077162348181,0.998767643371116
chr17_76726500_76726830,-0.69743023709403,1.6574045627054,5.10413852158456,0.0238721688395746,0.998767643371116
chr5_138465276_138465482,-0.702517081282541,1.33155751006745,5.06350389739383,0.0244381598453648,0.998767643371116
chr19_5790628_5790862,-0.732728070072834,0.860415924665141,5.02992955434523,0.0249163102724152,0.998767643371116
chr11_119206169_119206343,-0.712594718597201,1.02035875328831,4.93377950994321,0.0263401305184701,0.998767643371116
chr5_177496839_177497126,-0.67839798992549,1.54059810455151,4.85417689690191,0.0275828088968838,0.998767643371116
chr1_145996637_145996828,-0.66711541284623,1.61489048799822,4.70618614971899,0.0300579132733871,0.998767643371116
chr16_1351859_1351938,-0.702290956946068,0.819733626672963,4.66593369345059,0.0307703800345566,0.998767643371116
chr8_144902110_144902355,-0.691294439934567,0.976496232386292,4.6271326311288,0.0314738362986645,0.998767643371116
chr20_43458187_43458480,-0.653351318394782,1.8375811143956,4.62267743054523,0.0315556751516786,0.998767643371116
chr12_46371418_46371589,-0.683459713327947,1.04872533982125,4.61855315905372,0.0316316329650475,0.998767643371116
chr12_108731542_108732251,-0.65008786803144,1.79183457108323,4.5925743526091,0.0321144980616805,0.998767643371116
chr12_131896142_131896617,-0.67236697048635,1.30609076574903,4.58509690672233,0.0322549015502258,0.998767643371116
chr3_39152732_39153003,-0.694350066095725,0.971248467057381,4.57566387223903,0.032432939541492,0.998767643371116
chr19_39412329_39412591,-0.652457314142475,1.53340664349092,4.49251891422338,0.0340473084495821,0.998767643371116
chr6_30742651_30743033,-0.614617843429585,2.4088221777367,4.47278438445959,0.0344426694779526,0.998767643371116
chr16_11255643_11256367,-0.55841526242415,3.54224814575977,4.46900286589603,0.0345189746569852,0.998767643371116
chr5_10249601_10249671,-0.662420254026827,1.22029912070883,4.39779661998743,0.0359892968994286,0.998767643371116
chr12_120201159_120201242,-0.653082892092759,1.21972403777253,4.35675047325902,0.0368664914959983,0.998767643371116
chr22_21735493_21736254,-0.602918578407793,2.45878716521074,4.31824081227527,0.0377098482996138,0.998767643371116
chr19_47227129_47227283,-0.625928909498483,1.95883846262566,4.30849792890805,0.037926403626021,0.998767643371116
chr9_94166587_94166947,-0.622978761295063,1.92257065911803,4.26642068333317,0.0388767356251822,0.998767643371116
chr18_3652829_3653079,-0.616473944348419,2.0157563227996,4.26065265973413,0.0390089418018031,0.998767643371116
chr19_48963854_48964059,-0.635694178403207,1.37492334238969,4.20206302572836,0.0403788865150782,0.998767643371116
chr22_19121549_19121998,-0.631531666491208,1.44247105222956,4.1711010975049,0.0411231461405621,0.998767643371116
chr7_26200856_26201076,-0.651301173080042,0.934750250094194,4.14523228644536,0.0417560236437032,0.998767643371116
chr8_100722081_100722818,-0.545219618668546,3.42594637307235,4.14234262959598,0.0418273514694329,0.998767643371116
chr9_128552101_128552620,-0.624207139047987,1.47678508251331,4.13046657185215,0.0421218453857392,0.998767643371116
chr12_120686361_120686601,-0.657217779658347,0.877823779359455,4.12488408076665,0.0422610281404635,0.998767643371116
chr6_43629196_43629541,-0.622768359174071,1.63295641183881,4.09191848957772,0.0430928448591536,0.998767643371116
chr2_99489641_99489742,-0.63911129957182,1.10957445112615,4.04752134003343,0.0442404220590518,0.998767643371116
chr19_38899491_38899984,-0.647672067403913,0.915985366814631,4.02421460810273,0.0448556863494599,0.998767643371116
chr16_67847093_67847304,-0.621544984884138,1.40187236498268,4.00527873391561,0.0453621985501205,0.998767643371116
chr9_35732082_35732670,-0.588625406731615,1.97505075911798,3.87298090107142,0.0490735953550289,0.998767643371116
