,logFC,logCPM,F,PValue,FDR
chr15_78131828_78131860,1.12014541187218,-2.69318566231169,5.17231581323014,0.0229534153022431,0.999980773587071
chr5_60844279_60844314,0.894346081424098,-1.52340428300485,4.42900971462866,0.035337503092126,0.999980773587071
chr17_8223531_8223593,0.887225150386596,-1.85139720875701,4.41415546896826,0.0356464316065654,0.999980773587071
chr20_46364043_46364062,-0.855717968571355,-1.65450947008386,3.99844140795528,0.0455472421810657,0.999980773587071
chr9_136886590_136886593,-1.06023695660867,-3.20825681469333,3.90051513447221,0.0482762699918133,0.999980773587071
chr8_73747192_73747226,0.841992878892662,-1.89031719755766,3.82401945435332,0.0505279298438753,0.999980773587071
chr1_153628298_153628350,0.873906250316304,-2.26096204471396,3.70533833748545,0.0542437973289595,0.999980773587071
chr16_15949512_15949586,-0.803691455005815,-2.03227803109774,3.35122393866769,0.0671604421648256,0.999980773587071
chr19_37078187_37078189,0.850006572607575,-2.44481040182229,3.34845619867187,0.067273453438278,0.999980773587071
chr6_28218934_28219059,0.69704807821275,-0.711658518744196,3.19814084117483,0.0737275042031012,0.999980773587071
chr2_218217041_218217159,0.691479276694585,-0.75934300668661,3.18310299459732,0.0744087922308233,0.999980773587071
chrX_132023369_132023374,0.797157751067547,-2.11268197549756,3.09271133554397,0.0786491970930659,0.999980773587071
chrX_119574832_119574877,0.735617104137026,-1.70917582465662,2.9873358881,0.0839237069667282,0.999980773587071
chr17_82031677_82031705,-0.756376115644722,-1.93052475906744,2.98278507336344,0.0841599336781502,0.999980773587071
chr16_2817217_2817262,-0.709227564332789,-1.7730367929649,2.87300292454514,0.0900822858771521,0.999980773587071
chr19_13764514_13764562,0.696239837718123,-1.55620120596203,2.86435117588798,0.0905678554344484,0.999980773587071
chr17_30831952_30831955,0.699430602635361,-1.77133633615535,2.67330884027343,0.102049364382405,0.999980773587071
chr2_240136298_240136393,0.657078802601346,-1.3327335449868,2.59548582337173,0.10717428022683,0.999980773587071
chr1_41242243_41242260,0.790084220970496,-2.59009042502981,2.54815666020729,0.110428734316746,0.999980773587071
chr12_32679648_32679745,0.634819418985584,-0.986474972338499,2.50437286050414,0.113536390188838,0.999980773587071
chr19_14091359_14091376,-0.670974698765957,-1.79695713253359,2.48728465767777,0.114775301495903,0.999980773587071
chr5_134648735_134648808,0.614669282050805,-0.797496419344715,2.46335845675192,0.116535108530285,0.999980773587071
chr9_35658363_35658367,-0.677783800874484,-2.03824671293256,2.42152990209365,0.119683720345553,0.999980773587071
chr1_115642284_115642304,-0.723910476313659,-2.47301457132695,2.41495293008381,0.120187304736995,0.999980773587071
chr16_58025632_58025768,0.612956051911791,-0.802865520929843,2.40343260081527,0.121075055393101,0.999980773587071
chr15_29822439_29822574,-0.609890727503463,-0.911887849681045,2.35732013917808,0.124701958932912,0.999980773587071
chr3_43690363_43690459,-0.609633684774345,-1.05279348694634,2.30564974762132,0.128910084077852,0.999980773587071
