,logFC,logCPM,F,PValue,FDR
chr8_85177807_85177898,-1.38024639499984,-1.1314462404406,11.5675642148059,0.000671597258915482,0.536078140207331
chrX_41085176_41085197,-1.28866673331104,-1.51958606396521,9.48496327379047,0.00207264303891791,0.536078140207331
chr5_34656225_34656239,-1.32407670664312,-1.62285994711997,9.34699375553447,0.00223458117366267,0.536078140207331
chr13_108218363_108218515,-1.18494071723924,-0.372649353548418,9.29952519892176,0.00229321617378211,0.536078140207331
chr4_165207541_165207620,-1.12945255673145,-0.869939700048577,8.18367338163898,0.00422849131863634,0.536078140207331
chr22_38700964_38701116,-1.10631082787386,-0.398300879976916,8.00474452080705,0.00466717369955241,0.536078140207331
chr18_79069375_79069446,-1.1385786794111,-1.15560638397995,7.88689338166559,0.00498117702800319,0.536078140207331
chr3_50340885_50340993,-1.19918041006036,-1.82767190665322,7.70376850380549,0.00551241648029774,0.536078140207331
chr2_75646708_75646826,-1.07323944363114,-0.469804882034969,7.69065538185424,0.0055526053923444,0.536078140207331
chr9_104747776_104747818,-1.13767870838339,-1.36232643998589,7.67745179525692,0.00559337350129159,0.536078140207331
chrX_147911721_147911931,-1.06180681255885,0.456712855671392,7.6212221010741,0.00577043866297495,0.536078140207331
chr9_111896959_111896974,-1.15779087191129,-1.70855614826554,7.37933421442922,0.00659981015039748,0.536078140207331
chr5_154190439_154190487,-1.09772773574324,-1.19252351495883,7.36885878391573,0.00663836147629703,0.536078140207331
chr5_60844279_60844314,-1.12777993373877,-1.52340428300485,7.29717732208741,0.00690840675441228,0.536078140207331
chr8_117520575_117520723,-1.05916495580353,1.04698672212949,7.20908865919995,0.00725569417834335,0.536078140207331
chr5_103562827_103562885,-1.04046956435437,-0.681558270960178,7.20297775324224,0.00728043813893187,0.536078140207331
chr11_124739723_124739986,-1.03993730130343,0.860009313754332,7.04454382728471,0.00795298165996988,0.536078140207331
chr1_214281095_214281290,-1.01271142129481,0.385266174418173,6.92197465098791,0.00851665139628802,0.536078140207331
chr1_171741973_171742062,-1.01531761499927,-0.173327913876826,6.83942442313984,0.00891917636374619,0.536078140207331
chr1_70411022_70411280,-1.02867766311595,1.4956163218297,6.72365220050855,0.00951676474364423,0.536078140207331
chr14_24135910_24135916,-1.36533337676921,-2.97765092495928,6.69514177253182,0.00967012403637047,0.536078140207331
chr13_96053403_96053470,-1.00296314376533,-0.372145317022004,6.65994775966652,0.00986293291950237,0.536078140207331
chr3_193241058_193241186,-1.00622425305632,-0.571230202835673,6.63848424340065,0.00998244956174308,0.536078140207331
chr8_2623646_2623738,-1.0138563723357,-0.704217856661712,6.62543983429779,0.0100558097771343,0.536078140207331
chr9_19230602_19230807,-0.996788682847402,-0.0902430263763356,6.61381093532537,0.0101216751987234,0.536078140207331
chr2_166375769_166375859,-0.997160747982791,-0.697748167522276,6.58183591079788,0.0103050693112246,0.536078140207331
chr4_186191702_186191761,-1.06636896959241,-1.39825389951396,6.56982182922182,0.0103748540244617,0.536078140207331
chr17_29589593_29589732,-1.01416583477552,-0.541997627931257,6.56281555438929,0.0104157740101353,0.536078140207331
chrX_30215430_30215544,-0.982513953092528,0.0523434475797579,6.5616548058356,0.0104225692982546,0.536078140207331
chr13_106568157_106568227,-1.00614392066725,-0.929701391237207,6.48631054522962,0.0108735213207152,0.536078140207331
chr4_47485188_47485325,-0.978629444631168,-0.0112779312284053,6.46701827841055,0.0109921760627338,0.536078140207331
chr11_20363676_20363784,-1.00611120959592,-0.725490134688998,6.37179015384615,0.0115976319903976,0.536078140207331
chr4_186500973_186501080,-0.977555048200957,-0.24758959338196,6.37120511837059,0.0116014555783943,0.536078140207331
chr8_17246818_17247012,-0.966107519726731,0.250789018001363,6.34493542039053,0.0117744857485073,0.536078140207331
chr9_72365268_72365424,-0.96897962407038,-0.261866825130266,6.29623002047124,0.0121023379458885,0.536078140207331
chr2_239401507_239401513,-1.17284461778677,-2.52929187004361,6.23910706387605,0.0124988276782893,0.536078140207331
chr13_46553036_46553127,-1.00947945598864,-1.14361725506878,6.19845695601158,0.0127890880482385,0.536078140207331
chr2_242088576_242088732,-0.980446114335103,-0.47592681753285,6.18360973700759,0.0128968233840707,0.536078140207331
chr9_104747851_104747959,-0.955462349995638,-0.352314460900958,6.18122283414859,0.0129142302219145,0.536078140207331
chr14_87993111_87993194,-0.972887210666249,-0.802355880624208,6.17131671712218,0.0129867305122455,0.536078140207331
