,logFC,logCPM,F,PValue,FDR
chr10_17228435_17228643,-1.60345526261066,0.823009403084362,22.3484154909333,2.27882290353435e-06,0.0121894237110052
chr1_223701040_223701264,-1.22120113293386,0.94040522314794,13.8152600612458,0.000201862602491992,0.384584709586361
chr6_30742651_30743033,-1.0995170715688,2.4088221777367,13.6907319746989,0.00021569529421557,0.384584709586361
chr6_43629196_43629541,-1.1275420444177,1.63295641183881,13.0473337610079,0.000303948045377904,0.398144896214167
chr5_177496839_177497126,-1.1180456420151,1.54059810455151,12.668341657975,0.000372167597882003,0.398144896214167
chr19_18386038_18386270,-1.05383893636992,2.17656732023851,12.0854667899728,0.000508499597052237,0.420192189904772
chr1_22451680_22451933,-1.07660853597185,1.38001338233437,11.7464431187182,0.000609978310729732,0.420192189904772
chr11_65918811_65918842,-1.10959775423409,0.926440202587535,11.2555144693949,0.000794327795898783,0.420192189904772
chr1_25430678_25431024,-1.0657923189448,1.23082968035875,11.1854306260858,0.000824893030596089,0.420192189904772
chr20_43458187_43458480,-0.989819580235839,1.8375811143956,10.2487568706168,0.00136843336265045,0.420192189904772
chr16_3024207_3024451,-0.991966103283758,1.72893056367304,10.2204051302028,0.00138962619618355,0.420192189904772
chr12_46371418_46371589,-1.03477794200438,1.04872533982125,10.1420101282935,0.00144997253034048,0.420192189904772
chr1_19312659_19312915,-0.960730578367556,2.01482256355741,10.0884817152958,0.00149269550785223,0.420192189904772
chr9_94166587_94166947,-0.959858939319526,1.92257065911803,9.93705847781083,0.00162058698064392,0.420192189904772
chr9_128552101_128552620,-0.978880014269341,1.47678508251331,9.81061383070435,0.00173585537931114,0.420192189904772
chr7_44796975_44797147,-0.952776019633878,1.83414551377028,9.7260885892628,0.00181751022010303,0.420192189904772
chr19_1269655_1269797,-0.96197018215688,1.76036822912895,9.70457582013031,0.00183890696192272,0.420192189904772
chr1_6784559_6784734,-1.00901203632096,1.04918332397195,9.65712330982124,0.00188701076725617,0.420192189904772
chr17_1716207_1716670,-0.955322929404639,1.69953115302602,9.59763553156824,0.00194912158475806,0.420192189904772
chr12_109713508_109713887,-1.01805005244016,0.859419674824981,9.3489983334692,0.00223199132504551,0.420192189904772
chr16_1351859_1351938,-1.0029752825319,0.819733626672963,9.23401959615505,0.00237655080401624,0.420192189904772
chr11_65422098_65422498,-0.932011988750014,1.57899194516979,9.11265406151628,0.00253946919378599,0.420192189904772
chr10_63521658_63521680,-0.974964111109244,1.13979209821293,9.04235112822392,0.00263898240498412,0.420192189904772
chr1_23343969_23344065,-0.996835622098138,0.840089008302007,9.03887338565142,0.00264400664757126,0.420192189904772
chr17_76264969_76265338,-0.948796349442916,1.28536302157602,8.94960445787865,0.00277635060238152,0.420192189904772
chr16_11255643_11256367,-0.795863041907474,3.54224814575977,8.94596644363064,0.0027818845276021,0.420192189904772
chr11_65497393_65497937,-0.892862922941366,2.14007605826465,8.94590547859687,0.00278197735925522,0.420192189904772
chr1_203305180_203305574,-0.885728488548431,2.16683655260961,8.78086764247818,0.00304518027211401,0.420192189904772
chr7_26200856_26201076,-0.959051116530211,0.934750250094194,8.73325583586425,0.00312571535486849,0.420192189904772
chr6_30617302_30617535,-0.90584574561319,1.61286782260507,8.6934511893399,0.00319470387583028,0.420192189904772
chr17_42536542_42536736,-0.915282623140489,1.48773575958338,8.61603449383793,0.00333334569906067,0.420192189904772
chr1_145996637_145996828,-0.909702098551123,1.61489048799822,8.53626334352305,0.00348260900361934,0.420192189904772
chr17_1649900_1650222,-0.888063350383305,1.85288819029002,8.38454116793826,0.00378553354381243,0.420192189904772
chr15_74937717_74937808,-0.956031477796356,0.810054279701517,8.36873558751155,0.00381859422654831,0.420192189904772
chr22_21867117_21867411,-0.820977056506266,2.80441544741925,8.27599164136398,0.00401859479805472,0.420192189904772
chr14_90383194_90383482,-0.860901569613113,2.15977365868565,8.2560534547647,0.00406296502630129,0.420192189904772
chr7_105012567_105012877,-0.828071392050535,2.66157362731188,8.23323373127098,0.00411436007821391,0.420192189904772
chr6_37819313_37819783,-0.872592880614526,1.93459288589029,8.23280061810457,0.00411534191676515,0.420192189904772
chr1_117606134_117606161,-0.905287246076094,1.43747450100466,8.21545028098242,0.00415487071468448,0.420192189904772
chr2_99489641_99489742,-0.934270363519954,1.10957445112615,8.19227743851882,0.00420826825714978,0.420192189904772
chr19_49487229_49487558,-0.90970085457699,1.28060617031477,8.1864221079735,0.00422187099413442,0.420192189904772
chr6_34248437_34248678,-0.945907736247699,0.827511440636284,8.14518792783696,0.00431893970957481,0.420192189904772
chr7_143380863_143381374,-0.806981305268166,2.86566522989708,8.10581365177292,0.00441375077995093,0.420192189904772
chr6_15244934_15245035,-0.944227749896198,0.754373958300417,8.0752190983448,0.0044888819027717,0.420192189904772
chr15_90902555_90902699,-0.856927600118914,1.95573677964856,8.05451663464438,0.00454045856201666,0.420192189904772
chr5_34929815_34929977,-0.88494518515838,1.52480266033809,8.01523293324235,0.0046399925448293,0.420192189904772
chr8_102655573_102655928,-0.854360291363294,2.10342935894726,7.95378710112801,0.00480015669929958,0.420192189904772
chr2_157876315_157876754,-0.842959042257947,2.16906703685623,7.94552211977005,0.00482212573301546,0.420192189904772
chr5_98929450_98929781,-0.844564586203003,1.96070645495517,7.7803289112367,0.00528337392735338,0.420192189904772
chr3_57692603_57692808,-0.861305033959354,1.49668828699827,7.70501924449318,0.00550834260943504,0.420192189904772
chr2_171434574_171434667,-0.852984359009252,1.73307281785444,7.65544030220786,0.0056617570302235,0.420192189904772
chr3_49094081_49094523,-0.876694858211713,1.19405967371823,7.58215159053551,0.00589656136148919,0.420192189904772
chr7_100585822_100585905,-0.87528713327633,1.30909576861338,7.56097126649616,0.00596625266650726,0.420192189904772
chr1_155208583_155208917,-0.844299925677884,1.65169493153951,7.52588374646658,0.00608355868158355,0.420192189904772
chr11_64241226_64241723,-0.814320333054933,2.23262032219452,7.52379882718076,0.00609060270459681,0.420192189904772
chr20_35772173_35772418,-0.885963207271068,1.17501131027792,7.52018621806068,0.00610282782956538,0.420192189904772
chr7_149125981_149126070,-0.847424217256398,1.6811648527207,7.48911770479073,0.00620900343169949,0.420192189904772
chr3_170356727_170357750,-0.770196226830003,2.93495484473891,7.45353156786471,0.0063329371824577,0.420192189904772
chr5_132963501_132964009,-0.765010975826656,2.96421060091447,7.40717256952022,0.00649818600816576,0.420192189904772
chr3_15206508_15206603,-0.894393946782766,0.871730561174296,7.38224841389223,0.00658884240541665,0.420192189904772
chr1_21783584_21783802,-0.822517312684207,1.92443167324826,7.36687404638811,0.00664540643881694,0.420192189904772
chr21_44012592_44012862,-0.825568357516034,1.81579111649142,7.25062710263473,0.00708946498385716,0.420192189904772
chr19_57280275_57280540,-0.806703800928169,2.0767435855638,7.24504851833178,0.00711152189417496,0.420192189904772
chr16_3023939_3024194,-0.812283463019236,1.96604874567655,7.23108948981433,0.00716702161464651,0.420192189904772
chr19_58572741_58573221,-0.88165576590599,0.837202435589549,7.23053571164086,0.00716923248676956,0.420192189904772
