,logFC,logCPM,F,PValue,FDR
chr11_77066647_77067119,-0.708351240881098,1.67189351368115,80.8784289461176,7.31207756465654e-19,6.21892196874039e-15
chr8_144270406_144271108,-0.560847324997323,2.40995778905111,72.7166106734407,3.70371944652778e-17,1.57500669463594e-13
chr17_76384278_76384783,-0.645017571414248,1.43435020067365,58.5741971383833,6.38746871393142e-14,1.81084738039956e-10
chr15_20341778_20342579,-0.470746835739943,2.62033666104057,54.3837580304145,2.76151242697179e-13,5.87166579784877e-10
chr8_132480928_132481357,-0.598260838897563,1.5357634664619,53.7256601600849,5.08837287416548e-13,7.67143985031786e-10
chr2_96816040_96816671,-0.579487285123631,1.62468075232377,53.0129173974985,5.41195051168809e-13,7.67143985031786e-10
chr12_6336280_6336893,-0.552134780721305,1.73029272081725,51.3153553892409,1.24668143361657e-12,1.51471794184413e-09
chr2_64988835_64989495,-0.51132889903573,1.97962483374419,50.8676652938131,1.55393655642551e-12,1.65202880154987e-09
chr7_3300846_3301280,-0.586579416003465,1.49910770522612,50.5700451163927,2.66571904664236e-12,2.51910449907703e-09
chr2_174248442_174248870,-0.588065052304862,1.44454084186958,49.057870720945,6.23429456844624e-12,4.97158480819642e-09
chr18_9614498_9614718,-1.03107016244679,-0.0514338745528889,51.138639312957,6.91821429871002e-12,4.97158480819642e-09
chr15_63048060_63048674,-0.502939204547089,1.91398000578086,47.6647620904888,7.53755313187741e-12,4.97158480819642e-09
chr8_142614387_142614854,-0.486485390132794,2.03027301183946,47.594201030342,7.80485291914099e-12,4.97158480819642e-09
chr10_14604257_14604631,-0.711683629828521,0.907099246463584,50.5174506803873,8.18367869661962e-12,4.97158480819642e-09
chr15_20340258_20341405,-0.418194154606343,3.44685524183301,47.1632095540626,9.65675096582362e-12,5.47537779762199e-09
chr11_68751410_68751726,-0.704938764256141,0.913909053510233,50.1229603167461,1.14133692419469e-11,6.06691908767242e-09
chr16_66696688_66696999,-0.754512724922931,0.724086756549321,49.7928660653717,1.31706057686988e-11,6.58917659192841e-09
chr6_157981550_157981893,-0.701418287496173,0.90510288703405,49.208445610811,1.67180952644976e-11,7.8993000124751e-09
chr17_62627186_62627713,-0.526368986368811,1.69716386620469,45.7666104216903,1.92645134160821e-11,8.62340455809358e-09
chr19_45506477_45507004,-0.576565336696684,1.42371109147843,46.6051252497586,2.15091597127483e-11,8.98388050959782e-09
chr5_38556429_38556955,-0.611214835477295,1.26307327122429,47.2042209889033,2.21824210113527e-11,8.98388050959782e-09
chr12_2958844_2959498,-0.500897966344995,1.86706829929334,45.336888813438,2.38306157685532e-11,9.21269941416114e-09
chr2_64653770_64654390,-0.531500703629611,1.61752306646736,44.9032738082618,3.59020427323318e-11,1.32759510190644e-08
chr4_52659145_52659465,-0.762606585178874,0.627011506156764,47.6126456749139,4.00632064459017e-11,1.41973987842664e-08
chr8_143617422_143617857,-0.520111400427439,1.65130748512497,43.6653027030542,5.51376725502776e-11,1.82519628631387e-08
chr16_88452708_88453347,-0.47060962732798,1.99123612014869,43.6202258987254,5.57967118685017e-11,1.82519628631387e-08
chr15_68229391_68229881,-0.517909115013431,1.65757904254027,43.5639554545395,5.91281807370305e-11,1.86253769321646e-08
chr13_113490638_113491204,-0.469029649525381,2.00959334659549,43.2842073656199,6.59193957983421e-11,2.00230164737464e-08
chr8_135457218_135457557,-0.678235621281798,0.908607205387272,46.3830382342972,6.82946594566398e-11,2.00291751268525e-08
chr1_155017327_155017740,-0.637661695015857,1.07259400525019,45.6228967375328,7.16503121797599e-11,2.03128635029619e-08
chr6_46491403_46491577,-1.11618400939381,-0.387923436473245,46.1419722805785,7.69385459893783e-11,2.05333651949793e-08
chr17_65056556_65057024,-0.495731887827825,1.791666473163,42.9501974684963,7.78059366300085e-11,2.05333651949793e-08
chr1_144101578_144102413,-0.447165324780223,2.19459693622092,42.9024859163392,7.96709055184381e-11,2.05333651949793e-08
chr22_45309555_45310115,-0.505153583285621,1.72608042504682,42.7686916516986,8.51432007867516e-11,2.12983212556271e-08
chr20_48827903_48828400,-0.59082547390172,1.2577132119642,43.8808083356896,1.0494795112312e-10,2.55023521229183e-08
chr1_44799741_44800438,-0.448163079721317,2.12392149510565,42.2148931122452,1.1210217064355e-10,2.64841378145388e-08
chr11_66856166_66856519,-0.646570744354309,1.00336524706455,44.9267968851169,1.16450456957283e-10,2.67678685519377e-08
chr8_143942561_143942973,-0.528907070906919,1.54759253381533,42.4189436995789,1.29069308421859e-10,2.83134057695513e-08
chr11_47408076_47408628,-0.494218396687473,1.75046026012087,41.8768605267191,1.32608598671466e-10,2.83134057695513e-08
chr8_101080618_101081027,-0.639772406600747,1.02317258726769,44.4036278583003,1.33998713985024e-10,2.83134057695513e-08
chr16_4183696_4184115,-0.610148079585924,1.15035937306862,43.9014479934129,1.36490257090135e-10,2.83134057695513e-08
chr12_52874180_52874578,-0.582420027340115,1.26280955153105,43.1490117805689,1.71609000752333e-10,3.41590988398079e-08
chr17_78782212_78782693,-0.521410938131831,1.56946017192859,41.6729005540897,1.72703262799734e-10,3.41590988398079e-08
chr2_9769561_9769844,-0.781236475840878,0.457436593560663,44.7741001043053,2.02045255461651e-10,3.90544294932123e-08
chr20_51023074_51023349,-0.736794278024436,0.603388693259042,43.9169068387519,2.38538530370905e-10,4.5083782240101e-08
chr2_23385012_23385243,-0.907221708873904,0.0536085901317554,44.2069452196282,2.59431899305153e-10,4.79667022519637e-08
chr10_97498363_97498966,-0.431005269776659,2.22061361130719,40.2762761637463,2.94052946445621e-10,5.24875437106787e-08
chr22_20495787_20496068,-0.642594076343476,0.95865834327703,42.8989292170694,2.96225996250744e-10,5.24875437106787e-08
chr2_119223609_119223901,-0.676611033130251,0.814567769195902,42.9100156022043,3.15541053299176e-10,5.47689113940712e-08
chr2_27715727_27716095,-0.820571829953681,0.297958420561356,43.7738008596053,3.22814178999597e-10,5.49106918478315e-08
chr18_62522745_62523420,-0.461240435195456,1.91019371741506,40.0349034535476,3.31619012849414e-10,5.53023471428287e-08
chr8_143430644_143431102,-0.442765858956149,2.05685116844061,39.9907891636436,3.38987685361917e-10,5.54440435385213e-08
chr9_126914584_126914868,-0.803186369903479,0.350474521224534,43.4657608316054,3.49009673947125e-10,5.60061750362321e-08
chr12_121296667_121297044,-0.624858633527418,1.01971777944479,42.4564669065627,3.6077589342693e-10,5.68222032147414e-08
chr8_79767763_79768386,-0.48917214362864,1.70184758298616,39.804193496074,3.72015642225293e-10,5.75271461295658e-08
chr19_41887819_41888272,-0.542417567662335,1.3976027288514,40.5343505689868,4.20652586782715e-10,6.38866116176249e-08
chr1_16913818_16914332,-0.439973388119173,2.03720704419564,39.3588779077918,4.64472836453983e-10,6.93042363866865e-08
chr17_35089191_35089488,-0.727617631288751,0.589961265204015,42.3658671709993,4.87466449194213e-10,7.14810715585651e-08
chr19_33064844_33065177,-0.714316767796244,0.631063785226895,42.2345175124269,5.32901595116563e-10,7.68191197706164e-08
chr20_49278023_49278658,-0.433570883303928,2.08119611722341,38.8887002575182,5.87218221663158e-10,8.32381829207527e-08
chr10_28677224_28677559,-0.615866648105221,1.02322972960041,41.1426000075625,6.1497450806054e-10,8.57435769025393e-08
