,logFC,logCPM,F,PValue,FDR
chr12_50504856_50505129,1.00931449579186,1.81937424646207,10.4043673912942,0.00125780558103099,0.808751037796451
chr11_117098384_117098618,0.742583191454688,1.66423189535705,5.609579494428,0.0178654932912457,0.808751037796451
chr22_20917813_20917936,0.737291039072368,1.45151736594096,5.4493556121291,0.0195786136205522,0.808751037796451
chr14_95534574_95535055,0.656644687637463,1.26466814656016,4.28582442856519,0.0384354295635781,0.808751037796451
chr2_55693759_55693925,0.62715448999308,1.70236824706917,4.0711677355846,0.043625261792171,0.808751037796451
chr3_196432368_196432595,0.643593814761003,1.10945355363127,3.99874383952404,0.0455383945163692,0.808751037796451
chr17_75261536_75261723,0.594029004766449,2.35346932709589,3.97556028215475,0.0461693162572479,0.808751037796451
chr1_37692165_37692587,0.599205462456253,2.0921454092458,3.95556014561229,0.0467210059275292,0.808751037796451
chr2_151261429_151261513,0.640244291220436,1.05748003462983,3.87244459714789,0.0490892764031151,0.808751037796451
chr6_38703085_38703313,0.612530396766803,1.6262672583661,3.8406045325755,0.0500298019439548,0.808751037796451
chr1_173714976_173715135,0.567143179062492,2.50156045937006,3.78217380819374,0.0518056825737107,0.808751037796451
chr6_170306534_170306852,0.570534446209315,2.36205120076781,3.72663942535934,0.0535554330734233,0.808751037796451
chr1_155562645_155562835,0.600909994914764,1.48052082756862,3.66359212112402,0.0556180517004029,0.808751037796451
chr11_65918811_65918842,0.641354393951424,0.926440202587535,3.65817834387613,0.055799050248513,0.808751037796451
chr1_43946456_43947101,0.538634664079438,2.96630186195639,3.64300564513982,0.0563096559022348,0.808751037796451
chr8_38382187_38382567,0.57334263227416,2.28536436424755,3.64199912180537,0.0563437032341482,0.808751037796451
chr5_129094801_129094840,0.624833488999366,0.951737788979707,3.60600786836075,0.0575756418511006,0.808751037796451
chr7_91940703_91940986,0.548692722342483,2.63139212465716,3.60404376446118,0.0576436885483643,0.808751037796451
chr12_51172695_51172970,0.606766671641785,1.31270382133163,3.60393560292976,0.0576474383025096,0.808751037796451
chr5_71455889_71455964,0.619846164399956,1.02876917092764,3.59639883928921,0.0579093625816961,0.808751037796451
chr1_38859643_38860053,0.573092574369314,1.87716896185241,3.46129075085259,0.0628258273553591,0.808751037796451
chr2_26244538_26244967,0.546179036826689,2.4083097821025,3.4028017108774,0.0650903865698363,0.808751037796451
chr15_64387639_64387871,0.56326206460975,1.93443251307749,3.35199065291832,0.0671284274024124,0.808751037796451
chr8_53843272_53843362,0.580752159320331,1.28917385313241,3.31074376650472,0.0688329901488689,0.808751037796451
chr16_47143470_47143624,0.589469059271801,1.01669367703518,3.29262430414406,0.0695963765351023,0.808751037796451
chr6_87322485_87322697,0.567348376604316,1.49264221132516,3.28643548592511,0.0698591880217352,0.808751037796451
chr15_84716129_84716612,0.527897067144709,2.54582394297572,3.28009792035385,0.070129417624242,0.808751037796451
chr8_80029870_80030049,0.579572564342143,1.12354761746193,3.26032205469947,0.0709798687381926,0.808751037796451
chr19_38402882_38403274,0.580943368615733,1.14742159059136,3.24032043939024,0.0718512783005127,0.808751037796451
chr21_17819337_17819400,0.574925273233932,1.19207255129625,3.22750001766699,0.0724158514089402,0.808751037796451
chr7_100479155_100479577,0.557453447826108,1.536298658973,3.21871922420843,0.0728052752806526,0.808751037796451
chr3_20186155_20186472,0.526807707624031,2.37338505466999,3.18905408686073,0.0741376156038445,0.808751037796451
chr10_67885132_67885269,0.589965672258015,0.94290397411563,3.18858654537755,0.074158822464405,0.808751037796451
chr5_135399414_135399510,0.588542995449121,0.968142663256632,3.1645663570742,0.0752571494771346,0.808751037796451
chr4_184734049_184734434,0.543733073129082,1.68482315111236,3.10527881477357,0.0780436269661693,0.808751037796451
chr6_138988206_138988379,0.545602877337865,1.7246162743172,3.07400102301724,0.0795582275364034,0.808751037796451
chr6_4135219_4135322,0.567718317484493,1.05383572457147,3.04995374213693,0.0807442258800802,0.808751037796451
chr1_201829237_201829248,0.53093453433366,1.95858142782957,3.03822182932772,0.0813297434881317,0.808751037796451
chr19_36054745_36054980,0.533060165565078,1.83843498066722,3.02714984655943,0.0818865279409872,0.808751037796451
chr5_43313374_43313828,0.525424298485338,2.03557077234733,3.00978972830325,0.0827678267152216,0.808751037796451
chr13_94596152_94596331,0.558043627489943,1.08584288689412,2.99212666070819,0.0836750258831805,0.808751037796451
chr4_1793054_1793359,0.520237260625728,1.93436139990595,2.91521145186298,0.0877527463131299,0.808751037796451
chr3_44625202_44625326,0.553375178033175,1.13827770116004,2.90245555732812,0.088449566409048,0.808751037796451
chr5_142108606_142108891,0.520268351486317,1.85712791031189,2.89480247356099,0.0888705102684827,0.808751037796451
chr11_117232444_117232719,0.523385533986929,1.80466088822763,2.87298829506606,0.0900823251835613,0.808751037796451
chr6_17600125_17600492,0.492725591704268,2.44784452389402,2.860438905179,0.0907875791809292,0.808751037796451
chr9_36190652_36190979,0.503072947967109,2.38094807945902,2.85892633739003,0.0908729867365097,0.808751037796451
chr2_48440530_48440866,0.505154856318336,2.1904058762606,2.85500833840672,0.0910946234825344,0.808751037796451
chr12_110613929_110614208,0.52199517403176,1.59684850637676,2.80390181939813,0.0940400858259121,0.808751037796451
chr7_155002812_155002900,0.528214842917518,1.46990786517925,2.80084008120582,0.0942198033334738,0.808751037796451
chr2_74958762_74959044,0.507475195789385,2.11368626610987,2.79926878047086,0.0943121804005351,0.808751037796451
chr7_149422289_149422545,0.506754943676768,2.03075483309371,2.79525079320163,0.0945488471304784,0.808751037796451
chr22_21867117_21867411,0.477589224209667,2.80441544741925,2.78579919989721,0.0951081154496797,0.808751037796451
chr5_140107481_140108166,0.468738692816876,2.95653271871968,2.76613828446818,0.0962830622503652,0.808751037796451
chr19_48810974_48811224,0.504849158177557,1.84599925724181,2.74627711286662,0.0974860513149695,0.808751037796451
chr6_52670980_52671163,0.523098894317691,1.16608576347661,2.73984366364898,0.0978792304093996,0.808751037796451
chr15_74937717_74937808,0.555282989207913,0.810054279701517,2.73112594257096,0.0984147746450903,0.808751037796451
chr4_53365995_53366215,0.513734471726043,1.37492126741548,2.72154279702282,0.0990071747820401,0.808751037796451
chr15_59105445_59105600,0.518116221015976,1.64728427652936,2.7162923103468,0.0993333928744554,0.808751037796451
chr19_9435536_9435648,0.547288035663726,0.89716487607777,2.70430167852929,0.100082791924182,0.808751037796451
chr2_130181538_130181836,0.502219619606246,1.87700885318501,2.6641415056747,0.10263809447892,0.808751037796451
chr1_226186673_226186938,0.474934765127259,2.55218209443228,2.6581577942026,0.10302489441493,0.808751037796451
chr12_47705911_47706160,0.478341533570615,2.43890134132049,2.64473645704262,0.103898293929714,0.808751037796451
chr18_9708059_9708311,0.504921825905767,1.52424891398794,2.63347373792207,0.104637478687855,0.808751037796451
chr19_34734125_34734294,0.48551516285121,2.26140024562898,2.62526119064141,0.105180109178283,0.808751037796451
chr17_1649900_1650222,0.503653654393833,1.85288819029002,2.61761920698109,0.105687811713041,0.808751037796451
chr10_17228435_17228643,0.569739554445953,0.823009403084362,2.60616717089022,0.106453676299069,0.808751037796451
chr6_30742651_30743033,0.484899228139219,2.4088221777367,2.59089589143035,0.10748444403773,0.808751037796451
chr19_17215304_17215396,0.493821362390769,1.87835177969581,2.58853488064919,0.107644780912485,0.808751037796451
chr2_65432471_65432554,0.527719783346774,1.10477996044094,2.55324478992657,0.11007291596006,0.808751037796451
chr3_158801945_158802159,0.496560218397321,1.56507694853397,2.55100793419247,0.110228839073757,0.808751037796451
chr14_100238584_100238988,0.501507941993573,1.38858810495646,2.54437965834034,0.110692300359384,0.808751037796451
chr2_28894485_28894698,0.502925499550021,1.33645604677196,2.53597732633343,0.11128289076069,0.808751037796451
chr19_10106174_10106450,0.504100025439861,1.27834602820809,2.53280527481739,0.111506751578866,0.808751037796451
chr9_109013489_109013790,0.509206001897288,1.17798499367043,2.50456817576586,0.113521523494173,0.808751037796451
chr6_43629196_43629541,0.504773685243626,1.63295641183881,2.50277636358912,0.113650719402236,0.808751037796451
chr21_15729703_15730080,0.464776223767864,2.49019126513941,2.50202826744977,0.113704707695075,0.808751037796451
chr17_30378758_30379001,0.491477433331754,1.50456744630531,2.49797508785887,0.113997707875965,0.808751037796451
chr2_39437138_39437444,0.475656238485416,1.98966898192808,2.49101397560679,0.114502864107987,0.808751037796451
chr9_105447818_105448228,0.49251530503041,1.41501195717268,2.48706809017804,0.114790306384914,0.808751037796451
chr21_33641687_33641959,0.503924909733566,1.26365871168868,2.48588309270408,0.114876784147525,0.808751037796451
chr2_177392817_177392846,0.488838671348263,1.50519963444398,2.48099501667177,0.115234262636238,0.808751037796451
chr1_161166198_161166729,0.446480655753408,2.78516924381761,2.47124562926873,0.115950934105068,0.808751037796451
chr6_159000161_159000301,0.490706841019285,1.61665895331554,2.46716895424899,0.116252065664412,0.808751037796451
chr1_27604004_27604309,0.496620840364143,1.31207494004832,2.46690561728098,0.116271547234632,0.808751037796451
chr4_15002025_15002472,0.474092398400624,2.06230205776991,2.46669401320858,0.116287204236975,0.808751037796451
chr1_117606134_117606161,0.497298525478775,1.43747450100466,2.46255410996693,0.116593992700088,0.808751037796451
chr20_35772173_35772418,0.511333827811152,1.17501131027792,2.46094383242476,0.116713564063285,0.808751037796451
chr9_137590457_137590754,0.493217035803546,1.36619658663383,2.46019629864511,0.11676911830836,0.808751037796451
chr17_73192962_73193097,0.501832556444893,1.2153480831608,2.45842031372461,0.116901220824661,0.808751037796451
chr7_44606388_44607120,0.437908368203506,3.00941854496064,2.45525266555304,0.117137249040957,0.808751037796451
chr1_230642284_230642627,0.474473775423742,2.09967672397803,2.44964572549679,0.117556326119079,0.808751037796451
chr1_205749363_205749873,0.444460861886702,2.85361674825882,2.44810218679472,0.117671984828672,0.808751037796451
chr1_247857539_247857724,0.491647211299316,1.68154860197763,2.44635442304758,0.117803098164318,0.808751037796451
chr19_1269655_1269797,0.487404214160217,1.76036822912895,2.43841437946521,0.118400779518498,0.808751037796451
