,logFC,logCPM,F,PValue,FDR
chr21_25735621_25735647,-1.14238218342359,-1.53735077835936,7.38237401722551,0.00658866602179543,0.999947717205331
chr9_130172348_130172438,-1.09919506238468,-1.73251010094519,6.63723140926245,0.00998947147791414,0.999947717205331
chr17_29589593_29589732,-0.961374509274442,-0.541997627931257,5.93996710064712,0.0148044250678489,0.999947717205331
chr15_66293589_66293644,-0.975564144576795,-1.72762370462754,5.39220164194232,0.0202305469554815,0.999947717205331
chr2_65436156_65436224,-0.969661457592566,-1.31337954341488,5.35645271909028,0.0206493721766957,0.999947717205331
chr18_12658074_12658206,-0.938887535981374,-1.31890044709353,5.31770630000807,0.0211134606292575,0.999947717205331
chr11_119095064_119095082,-0.98070205253545,-1.55049848674449,5.26246301765759,0.021793890937363,0.999947717205331
chr16_56425457_56425740,-0.897956126336675,-0.152309656508303,5.13172718150334,0.0234961898751668,0.999947717205331
chr16_2340234_2340346,-0.904538553672653,-1.15648862265871,5.05395673220683,0.0245736922125675,0.999947717205331
chr19_15332198_15332262,-0.971235101294515,-1.77627766235278,5.02213510132865,0.0250292449837833,0.999947717205331
chr10_102056062_102056077,-1.03740300825027,-2.352490581637,4.82446562326449,0.0280626969746616,0.999947717205331
chr16_15949512_15949586,-0.968001233948956,-2.03227803109774,4.79989323741023,0.0284656587242498,0.999947717205331
chr19_16542269_16542279,-0.994225049488113,-2.16254043714351,4.7407219295866,0.029460920807124,0.999947717205331
chr13_27424542_27424587,-0.961541302148081,-2.11625548217,4.67964737036109,0.0305262829401935,0.999947717205331
chr8_1823823_1823948,-0.860032828853604,-0.434544714703763,4.67396594749704,0.0306274082002861,0.999947717205331
chr19_6736621_6736728,-0.834750634880097,-0.62853527200083,4.56698070351681,0.0325983370528627,0.999947717205331
chr9_35646823_35646948,-0.834203472611244,-0.665121466402992,4.47589000347947,0.0343807519070858,0.999947717205331
chr15_74937717_74937808,-0.851783949577167,-1.21690431010762,4.45440460138244,0.0348158270010345,0.999947717205331
chr15_41402416_41402462,-0.859178705798041,-1.32279940975108,4.44343349681448,0.0350402063940956,0.999947717205331
chr1_25431245_25431264,-0.928910575102908,-2.18903568686582,4.38531675685582,0.0362542962377156,0.999947717205331
chr9_136886590_136886593,-1.10005065521758,-3.20825681469333,4.2493247502316,0.0392706033177894,0.999947717205331
chr3_49940354_49940491,-0.808346606371259,-0.781445090489887,4.21101775364867,0.0401669306183448,0.999947717205331
chr19_8307983_8308046,-0.843763639257579,-1.48123875839192,4.13531608572728,0.04200198782312,0.999947717205331
chr3_52770912_52771086,-0.789332000639097,-0.184168623832006,4.06230298387703,0.0438554849938312,0.999947717205331
chr16_178185_178257,-0.850420895718078,-1.63224617820633,4.04597187506096,0.0442817190580968,0.999947717205331
chr18_75209191_75209211,1.05081750573413,-2.97404722274586,4.04390603575909,0.0443359463091342,0.999947717205331
chr19_1513975_1514094,-0.795234289946039,-1.03901816037464,3.88064835249715,0.0488506730742653,0.999947717205331
chr17_7561742_7561929,-0.771257981054018,-0.690105427314653,3.79807651775868,0.0513165453168995,0.999947717205331
chr7_6589848_6590025,-0.761392658912734,-0.426783194993925,3.68827675551962,0.0548013386402683,0.999947717205331
chr11_62545517_62545596,-0.799206403750395,-1.50923428972975,3.68221805749779,0.055000784609402,0.999947717205331
chr1_32901419_32901536,-0.784940406341686,-1.29171800776727,3.64448966443979,0.056260212039263,0.999947717205331
chr5_34656225_34656239,-0.83000261939215,-1.62285994711997,3.61276191457494,0.0573430161812563,0.999947717205331
chr1_154993409_154993541,-0.750352429290512,-1.1035995357337,3.53065813750857,0.0602491253646306,0.999947717205331
chr10_102713789_102713952,-0.745750145095156,-0.874390545228466,3.46346279104066,0.0627440997634004,0.999947717205331
chr8_42338356_42338556,-0.715783562781098,0.0114171096034029,3.44592655329234,0.0634131745865986,0.999947717205331
chr1_27672176_27672266,-0.711822482512933,-0.466614241589784,3.39167457865284,0.0655317196307851,0.999947717205331
chr15_74937680_74937690,-0.835683414412654,-2.5012735610514,3.38669939536951,0.065729747479283,0.999947717205331
chr10_71773511_71773728,-0.713966674111337,0.227384913565992,3.3767820367006,0.0661263982490316,0.999947717205331
chr16_67528758_67528901,-0.736700078777822,-1.00189501580683,3.37396779336546,0.0662394206606692,0.999947717205331
chr11_65918811_65918842,-0.821591637962111,-2.11988813835868,3.3417292924898,0.0675489720531012,0.999947717205331
chr16_66934368_66934469,-0.722488454586685,-0.855046181494145,3.32407250819558,0.0682779084530562,0.999947717205331
chr1_6424759_6424863,-0.721906629040877,-0.689008782718123,3.31188216661292,0.0687860766610103,0.999947717205331
chr15_40763943_40764183,-0.698712745567655,-0.442391710074835,3.26570319357587,0.0707481190146391,0.999947717205331
chr10_14953921_14953943,0.842702604255152,-2.45942629348802,3.25688217358973,0.0711296765676427,0.999947717205331
chr19_45767549_45767602,-0.729600410052564,-1.23078489511589,3.23973550836857,0.0718776881093282,0.999947717205331
chr9_35658363_35658367,-0.787145949072105,-2.03824671293256,3.22787517147612,0.0724000185407021,0.999947717205331
chr17_64837122_64837240,-0.703801472280768,-0.689764859065652,3.22365197598207,0.0725869899828588,0.999947717205331
chr5_135399414_135399510,-0.74888441228307,-1.58180875661664,3.21449646817334,0.0729941080609442,0.999947717205331
chr5_473028_473327,-0.693988497505472,0.3225086839445,3.1968447182873,0.0737859603643629,0.999947717205331
chr12_56258336_56258505,-0.701961556487072,-0.377444760331003,3.19456887111316,0.0738887232682199,0.999947717205331
chr15_64381473_64381681,-0.695310849379309,0.724069538133639,3.17170243509401,0.0749297978188224,0.999947717205331
chr9_128724923_128724988,-0.699024596344593,-0.958152962213323,3.1216104234472,0.0772659075507854,0.999947717205331
chr12_48350796_48351028,-0.685043561908764,-0.161531925661276,3.09699522898674,0.0784424712875109,0.999947717205331
chr4_173168648_173168666,0.749541195386612,-1.67180229349764,3.09355346343344,0.0786085126499563,0.999947717205331
chr19_33373505_33373737,-0.678122913799882,0.289646861669551,3.09098967419501,0.0787324436798367,0.999947717205331
