,logFC,logCPM,F,PValue,FDR
chr11_65333678_65333945,-0.592871765141656,0.207211968831358,23.7530012275579,1.09739616290206e-06,0.00609932787340962
chr19_12294776_12295000,-0.549474084471884,-0.0450092953039226,17.397945121729,3.03481714592801e-05,0.0786979475629269
chr16_2340649_2341083,-0.371208031605913,1.11323693061894,16.722634876042,4.33051982212819e-05,0.0786979475629269
chr6_137219259_137219564,-0.461389321322038,0.344197835603283,15.9929755018057,6.36366103230266e-05,0.0786979475629269
chr19_2702642_2702958,-0.394427563557659,0.740374089681512,15.2249428610277,9.55147970049127e-05,0.0786979475629269
chr16_2682288_2682588,-0.479093236098689,0.17435671709641,15.2102320545566,9.62615841919704e-05,0.0786979475629269
chr7_65006484_65006873,-0.400061064071228,0.688644696864322,15.1438884152776,9.97031745643521e-05,0.0786979475629269
chr5_43556750_43557262,-0.376335230637268,0.849247472853494,14.7980499952425,0.000119754517163384,0.0786979475629269
chr19_49474024_49474307,-0.558221070639137,-0.349688885260912,14.6808322052821,0.000127434603826258,0.0786979475629269
chr21_42974889_42975259,-0.410998226898707,0.532726107364696,14.4253450228981,0.00014593716884912,0.0811118784463409
chr8_58553064_58553319,-0.499076833316959,-0.0907753853658217,14.0075401217975,0.000182209848913185,0.0882733280404725
chr9_127916933_127917324,-0.325282856903961,1.255959898487,13.8425153313643,0.000198926639490202,0.0882733280404725
chr1_15976019_15976217,-0.544476376566221,-0.372562385907597,13.7555665387099,0.000208347508100986,0.0882733280404725
chr17_17206279_17206708,-0.36953381208231,0.741370523089444,13.387213036722,0.000253512758609092,0.0882733280404725
chr20_30724107_30724319,-0.518531073246546,-0.302055598457549,13.127296274377,0.000291209594306792,0.0882733280404725
chr3_128680605_128680881,-0.398683860595833,0.460151602951013,12.9543171720434,0.000319382667091185,0.0882733280404725
chr10_56361259_56361509,-0.421328922135994,0.294804152845522,12.9209451547785,0.000325126425545116,0.0882733280404725
chr12_69738604_69738927,-0.378978092160683,0.598320234161865,12.8192580468229,0.000343278513545347,0.0882733280404725
chr7_100436355_100436751,-0.331234534401185,1.0297121179235,12.7619516322998,0.000353955085280808,0.0882733280404725
chr19_48624066_48624470,-0.321781252149122,1.13569823017423,12.7411370578376,0.000357915363719399,0.0882733280404725
chr19_19733029_19733261,-0.468385772870198,-0.0396144749089956,12.7334212329813,0.000359394740506712,0.0882733280404725
chr17_55750866_55751471,-0.307606054847378,1.31898789721894,12.7315592116315,0.000359752673885115,0.0882733280404725
chr1_64966399_64966731,-0.397410506774774,0.438900700479865,12.6819552589192,0.000369421488011224,0.0882733280404725
chr6_30556263_30556733,-0.330064587719887,1.02295308900767,12.6233999485364,0.000381173060988007,0.0882733280404725
