,logFC,logCPM,F,PValue,FDR
chr10_130110806_130110908,-1.20401355012363,0.0376962816278019,21.5713001278032,3.43269092875738e-06,0.00540774029315039
chr5_123512000_123512087,-1.17688264856393,0.29624085894999,21.2774043235567,4.0006051139068e-06,0.00540774029315039
chr1_151611883_151612046,-1.20638609695092,-0.326372264757673,21.1140590405025,4.35608828916705e-06,0.00540774029315039
chr3_139677862_139678072,-1.13802566738396,0.457732247960927,20.4586096545153,6.13148442301501e-06,0.00540774029315039
chr19_52095749_52095968,-1.17741338556256,-0.00138226328383183,20.4423719722797,6.18366762078408e-06,0.00540774029315039
chr1_145607891_145608046,-1.17102042212773,-0.00810570835066947,20.3718192018135,6.41563063809108e-06,0.00540774029315039
chr4_75514654_75514758,-1.17196403897148,-0.193894101811765,20.0269788964055,7.68143530762525e-06,0.00540774029315039
chr6_57961381_57961435,-1.26488857998408,-0.992898053563509,20.0144584434294,7.73183927907297e-06,0.00540774029315039
chrX_123960308_123960443,-1.16840455800576,-0.0865985525286487,19.9004592870817,8.20632193281684e-06,0.00540774029315039
chr22_29838269_29838461,-1.158045429135,-0.110801890609479,19.7754747158006,8.7601986195254e-06,0.00540774029315039
chr3_120094443_120094681,-1.09505365357207,0.704327768812566,19.2661178714117,1.14338426237637e-05,0.00540774029315039
chr16_20741830_20741957,-1.16174638412542,-0.419623727279501,19.2405117317676,1.15880658366358e-05,0.00540774029315039
chr3_20039858_20039917,-1.25290222537466,-1.11168748152258,18.9953928993039,1.31743376958958e-05,0.00540774029315039
chr20_653385_653618,-1.13284172821462,-0.124909726326861,18.8108241941714,1.45112095176711e-05,0.00540774029315039
chr8_33484986_33485173,-1.08280224404518,0.689842974355665,18.5800387625499,1.63762526138601e-05,0.00540774029315039
chr10_99621303_99621403,-1.21142468399438,-0.942130295150789,18.5768636362766,1.64035244192436e-05,0.00540774029315039
chr3_125915879_125916655,-1.06977123139091,2.13390829908379,18.5380415979888,1.67406873229738e-05,0.00540774029315039
chr17_47323682_47324036,-1.08855610158284,0.411504382732162,18.4019663426394,1.79784099127519e-05,0.00540774029315039
chr10_101818627_101818697,-1.17331791412935,-0.735108810961209,18.305276250582,1.89133867691696e-05,0.00540774029315039
chr18_59139677_59139743,-1.21211705564645,-1.0119270215384,18.2632832902706,1.93345226347672e-05,0.00540774029315039
chrX_49269027_49269377,-1.0678522062149,0.444447796757605,18.2408275626344,1.95635779790191e-05,0.00540774029315039
chr1_43389819_43390133,-1.06305229502765,0.911656539297126,18.0861732233712,2.12169151018561e-05,0.00540774029315039
chr18_5296873_5296922,-1.27841724457087,-1.4007979642825,18.0294536628663,2.18578635267996e-05,0.00540774029315039
chr10_32346201_32346485,-1.0585434037302,0.523602708456691,17.9710648888902,2.25380060958269e-05,0.00540774029315039
chr3_152834943_152835149,-1.05609719768902,0.594853891056363,17.9101610233332,2.32701186403802e-05,0.00540774029315039
chr7_876747_876907,-1.10889018044516,-0.132249358604113,17.9022025974773,2.33675342659082e-05,0.00540774029315039
chr11_65900378_65900695,-1.05917166086362,0.608469715392032,17.8116124576343,2.45057169619571e-05,0.00540774029315039
chr2_9206326_9206434,-1.13759244362797,-0.645878270033821,17.7391532428752,2.54560811921845e-05,0.00540774029315039
chr2_219160821_219160830,-1.27442909496136,-1.46391226717202,17.7162178955066,2.57645485634546e-05,0.00540774029315039
chr5_181281343_181281380,-1.13052261762676,-0.590458128372365,17.6953357221905,2.60486679018502e-05,0.00540774029315039
chr13_41132616_41132898,-1.05407995760355,0.668701380262592,17.6848157093878,2.61929919586196e-05,0.00540774029315039
chr12_46372742_46372975,-1.04941830342145,0.73741626081112,17.6006420492177,2.73770908154246e-05,0.00540774029315039
chr4_26857536_26857692,-1.10070917744414,-0.329181897783109,17.5572699709763,2.80080736825483e-05,0.00540774029315039
chr8_90985280_90985507,-1.0431076856616,0.47499072148431,17.4775119494695,2.92068080975304e-05,0.00540774029315039
chr10_117375472_117375665,-1.09362014995039,-0.299875167490749,17.4518303221032,2.96036654548346e-05,0.00540774029315039
chr7_98106727_98106895,-1.03714440931403,0.525628621457071,17.3623992215377,3.10284252009843e-05,0.00540774029315039
chr4_53377460_53377677,-1.06311239077059,0.171221791133497,17.2896358064098,3.22383569252262e-05,0.00540774029315039
chr16_81035754_81035844,-1.09198747638471,-0.402583583220302,17.1393387405424,3.48898210120225e-05,0.00540774029315039
chr3_53347495_53347705,-1.07882445721642,-0.197888904995588,17.1339189539846,3.49894255069065e-05,0.00540774029315039
chr12_46383255_46383607,-1.03683566014023,1.15092586954846,17.1294132206421,3.50724491517868e-05,0.00540774029315039
chr10_32347075_32347296,-1.0734740892219,-0.0695209907225168,17.1244828539063,3.51635241101473e-05,0.00540774029315039
chr14_81220894_81221184,-1.0319993423688,0.67602347345894,17.1044156062788,3.55366709169471e-05,0.00540774029315039
chrX_149938446_149938737,-1.03632372297598,1.14603976351474,17.0869404717046,3.58648589994349e-05,0.00540774029315039
chr1_247008045_247008163,-1.03104012593227,0.584439836705503,17.0765365052645,3.60616936904141e-05,0.00540774029315039
chrX_77910489_77910617,-1.08936157370058,-0.447789106556299,17.0106932385535,3.73328296670878e-05,0.00540774029315039
chr13_72782044_72782220,-1.0241824410524,0.633065072078191,16.995405833478,3.76343467826558e-05,0.00540774029315039
chr15_66386629_66386991,-1.03104633980027,1.07553873945485,16.9455459796292,3.86348632035159e-05,0.00540774029315039
chr2_197453185_197453603,-1.02831454425049,1.97111684803328,16.9131606871971,3.92990075499451e-05,0.00540774029315039
chr9_72365268_72365424,-1.07019033026172,-0.114121325566315,16.9024122079067,3.95219603240351e-05,0.00540774029315039
chr17_82698635_82699057,-1.03055429092379,1.53024150648709,16.8619068148087,4.03736392230327e-05,0.00540774029315039
chr10_32446180_32446235,-1.17418611261292,-1.03239780247925,16.8588591361767,4.0438462176696e-05,0.00540774029315039
chr6_104859885_104860064,-1.02152633347536,0.600447180134873,16.8378586624591,4.08879879592968e-05,0.00540774029315039
chr1_20787181_20787487,-1.02039300101839,0.517251796056743,16.800555682322,4.16989018141576e-05,0.00540774029315039
chr11_8964956_8965055,-1.15722523858773,-1.0187194985161,16.714996518875,4.36204475626926e-05,0.00540774029315039
chr12_107093521_107093662,-1.03584837739149,0.249031572063918,16.6914681377604,4.41643031180345e-05,0.00540774029315039
chr14_77616615_77617063,-1.01859300461115,1.68245037150902,16.67600237084,4.45255009452576e-05,0.00540774029315039
chr13_24512755_24512797,-1.26458517696154,-1.61120901358324,16.6602700837091,4.48959709979627e-05,0.00540774029315039
chr12_132986264_132986474,-1.0575231226045,-0.0957990364951413,16.6029160650131,4.62730084393066e-05,0.00540774029315039
chr14_20461425_20461585,-1.05992859695268,-0.124408384615162,16.5776847843729,4.6892173490411e-05,0.00540774029315039
chr15_101724408_101724726,-1.0168253718915,0.847860572016423,16.5752382620602,4.69526514108997e-05,0.00540774029315039
chr19_52189560_52190056,-1.01336522715717,2.12482018592064,16.5384926600117,4.78704944192714e-05,0.00540774029315039
chr12_57936084_57936206,-1.03132907518312,0.265498812953472,16.5344657058799,4.79721716078578e-05,0.00540774029315039
