,logFC,logCPM,F,PValue,FDR
chr5_34656225_34656239,-1.18816693249237,-1.62285994711997,7.50554750502728,0.00615289525783143,0.997775108236894
chr2_218217041_218217159,-1.04678638793765,-0.75934300668661,7.08956172138314,0.00775566411316682,0.997775108236894
chr7_6589848_6590025,-0.991144684422125,-0.426783194993925,6.37406079339751,0.0115828041316982,0.997775108236894
chr2_207166209_207166312,-1.00234265833503,-0.832835040594238,6.2437132825564,0.0124663669397648,0.997775108236894
chr22_38700964_38701116,-0.977548903511105,-0.398300879976916,6.22744703037888,0.0125813864900458,0.997775108236894
chr17_44363822_44363894,-1.03577418907689,-1.38739715895474,6.19790046884235,0.0127931093335635,0.997775108236894
chr17_8223531_8223593,-0.993147073182137,-1.85139720875701,5.47046354216627,0.0193440367972044,0.997775108236894
chr10_102120295_102120345,-1.03184307723008,-2.11913121472163,5.41300391225313,0.01999088670787,0.997775108236894
chr19_49155086_49155229,-0.908211604129739,-0.920561209334727,5.27244315210738,0.0216693059505653,0.997775108236894
chr17_7561742_7561929,-0.90309895816738,-0.690105427314653,5.22221849680571,0.0223038516249211,0.997775108236894
chr10_73874795_73874812,-0.970785347843826,-1.77275399332312,5.12831678804006,0.0235423975864618,0.997775108236894
chr1_32901419_32901536,-0.927705350819774,-1.29171800776727,5.09550140020471,0.0239918623937761,0.997775108236894
chr10_102056062_102056077,-1.04469112348316,-2.352490581637,4.81688457770268,0.0281863811324111,0.997775108236894
chr13_27620590_27620782,-0.843731562335893,0.0948024376783669,4.72563002377007,0.0297205220449233,0.997775108236894
chr11_64972127_64972188,-0.924056066862999,-1.86998430164855,4.69791415544151,0.0302034992657543,0.997775108236894
chr16_56425457_56425740,-0.849558482872856,-0.152309656508303,4.5734212532443,0.0324760219135277,0.997775108236894
chr9_35829081_35829273,-0.843430398622837,-0.677892812543354,4.56901857114288,0.0325595831377997,0.997775108236894
chr22_23768413_23768426,-0.932264213265803,-2.06313043556484,4.47026080873119,0.0344941895593077,0.997775108236894
chr8_85177807_85177898,-0.862506635633938,-1.1314462404406,4.4169209119759,0.035588704465243,0.997775108236894
chr3_50260139_50260218,-0.83950698094362,-0.897366988467231,4.36759995844219,0.0366331039369535,0.997775108236894
chr22_37844581_37844616,-0.879548343023125,-1.68799647401907,4.34364874249819,0.0371518119886141,0.997775108236894
chr17_82212759_82212781,-0.895786161236685,-1.96889991225194,4.29218377261819,0.0382925823340844,0.997775108236894
chr17_29589593_29589732,-0.817382187602078,-0.541997627931257,4.25449171678425,0.0391513197379326,0.997775108236894
chr9_130172348_130172438,-0.870926503358781,-1.73251010094519,4.06614492538348,0.043755840891591,0.997775108236894
chr7_150978483_150978509,0.885650412850598,-1.98160751180156,4.04333317647286,0.0443509959555909,0.997775108236894
chr17_4987691_4987771,-0.84677915330785,-1.6100510181149,4.03120410826791,0.0446709055273636,0.997775108236894
chr19_14419050_14419135,-0.787116288769954,-0.865713564769174,3.92710796919161,0.0475185311210459,0.997775108236894
chr8_73747192_73747226,-0.842365090778896,-1.89031719755766,3.87247017406923,0.0490892190652399,0.997775108236894
chr4_2792820_2793083,-0.768968886768234,-0.229753872532473,3.86182132524058,0.0494016762535996,0.997775108236894
chr16_675258_675353,-0.788285546362763,-1.17499794303507,3.83111499265106,0.0503144777096854,0.997775108236894
